address,is24qa_bezugsfrei_ab,is24qa_etage,is24qa_flaeche,is24qa_kaltmiete,is24qa_nebenkosten,is24qa_zi,lat,lng,url,zip_region_country
"Bayreuther Strasse 36,",sofort,6 von 1,220 m²,5.500 €,,3,"52.50127385443735,",13.343928452945972,https://www.immobilienscout24.de/expose/108656952,"10789 Berlin, Schöneberg (Schöneberg)"
"Dahlemer Weg 115,",01.02.2019,3 von 3,"97,5 m²","1.316,25 €",,3,"52.42765334475742,",13.277807623031212,https://www.immobilienscout24.de/expose/108274697,"14167 Berlin, Zehlendorf (Zehlendorf)"
"Billy- Wilder- Promenade 46,",01.10.2018,1 von 5,"92,96 m²",1.050 €,,2,"52.41809457714373,",13.28495670896641,https://www.immobilienscout24.de/expose/106680596,"14167 Berlin, Lichterfelde (Steglitz)"
"Else-Lasker-Schüler-Straße 6,",sofort,4 von 6,105 m²,2.150 €,,3,"52.50070419276024,",13.356346329548996,https://www.immobilienscout24.de/expose/108084681,"10783 Berlin, Schöneberg (Schöneberg)"
"Kopenhagener str 9,",16.12.2018,1 von 5,40 m²,800 €,,1,"52.54912978691917,",13.41061952283536,https://www.immobilienscout24.de/expose/108445656,"10437 berlin, Prenzlauer Berg (Prenzlauer Berg)"
,15.12.18,3 von 5,220 m²,4.200 €,,5,,,https://www.immobilienscout24.de/expose/71369475,10627 Berlin
"Lehderstraße 93,",ab sofort,5 von 5,"71,8 m²","1.174,60 €",,2,"52.54957232889244,",13.439718554363353,https://www.immobilienscout24.de/expose/108525609,"13086 Berlin, Weißensee (Weißensee)"
"Xantener Str .,",01.12.2018,3 von 5,106 m²,1.950 €,,3,"52.49909607177126,",13.310024812665155,https://www.immobilienscout24.de/expose/108185403,"10707 Berlin, Wilmersdorf (Wilmersdorf)"
"Otto Suhr Allee 26,",ab 15.12.2018,1 von 7,"46,95 m²","680,78 €",,2,"52.515061444870284,",13.316725818367297,https://www.immobilienscout24.de/expose/108684995,"10585 Berlin, Charlottenburg (Charlottenburg)"
"Gabriele-Tergit-Promenade 21,",01.09.2018,9 von 13,63 m²,1.400 €,,2,"52.504191172109806,",13.374525278438783,https://www.immobilienscout24.de/expose/106245148,"10785 Berlin, Tiergarten (Tiergarten)"
"Florastraße 33 c,",ab sofort,3 von 4,48 m²,685 €,,1,"52.56471737601336,",13.405186945990865,https://www.immobilienscout24.de/expose/108531422,"13187 Berlin, Pankow (Pankow)"
"Pappelallee 1,",ab sofort,,92 m²,1.500 €,,3,"52.5411825668349,",13.412776403312622,https://www.immobilienscout24.de/expose/107758595,"10437 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Reichenberger Straße 108 a,",01.11.2018,1 von 5,"97,5 m²",2.200 €,,"3,5","52.49412733697874,",13.436069297102614,https://www.immobilienscout24.de/expose/107638241,"10999 Berlin, Kreuzberg (Kreuzberg)"
"Burgfrauenstraße 90,",01.12.2018,4 von 4,110 m²,1.050 €,,3,"52.62656350088518,",13.303615423789955,https://www.immobilienscout24.de/expose/63669503,"13465 Berlin, Hermsdorf (Reinickendorf)"
"Wulffstraße 8,",01.12.2018,1 von 2,"122,93 m²",1.690 €,,4,"52.45486365839887,",13.316275023760332,https://www.immobilienscout24.de/expose/108686413,"12165 Berlin, Steglitz (Steglitz)"
"Berliner Allee 187,",Sofort,3 von 3,110 m²,950 €,,4,"52.55502575332552,",13.46731516106664,https://www.immobilienscout24.de/expose/108346556,"13088 Berlin, Weißensee (Weißensee)"
"Lichtburgring 18,",01.01.2019,2 von 3,"66,3 m²",1.190 €,,2,"52.54778556620931,",13.399587470874087,https://www.immobilienscout24.de/expose/108167323,"10437 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Zillestraße 11A,",01.01.2019,4 von 4,137 m²,1.695 €,,4,"52.51406486756197,",13.313765305687351,https://www.immobilienscout24.de/expose/108280289,"10585 Berlin, Charlottenburg (Charlottenburg)"
"Bölschestraße 63,",sofort,2 von 4,130 m²,1.395 €,,3,"52.45521958519321,",13.62550663365631,https://www.immobilienscout24.de/expose/104051535,"12587 Berlin, Friedrichshagen (Köpenick)"
"Ackerstraße 173,",01.12.2018,3 von 5,86 m²,1.080 €,,3,"52.5290251259981,",13.39735775341963,https://www.immobilienscout24.de/expose/108436871,"10115 Berlin, Mitte (Mitte)"
"Möwenweg 21,",16.02.2019,3 von 3,"64,9 m²",895 €,,2,"52.50373733245219,",13.57637635050662,https://www.immobilienscout24.de/expose/108554163,"12683 Berlin-Biesdorf, Biesdorf (Marzahn)"
"Karl-Marx-Allee 115,",01.01.2019,8 von 8,"61,5 m²",845 €,,2,"52.5171549292362,",13.446567749011486,https://www.immobilienscout24.de/expose/108675692,"10243 Berlin, Friedrichshain (Friedrichshain)"
"Behaimstraße 21,",ab Mitte/ Ende Dezember,0 von 5,55 m²,850 €,,"2,5","52.5163528198377,",13.303458634149793,https://www.immobilienscout24.de/expose/108210071,"10585 Berlin, Charlottenburg (Charlottenburg)"
,01.12.18,2 von 2,97 m²,985 €,,"2,5",,,https://www.immobilienscout24.de/expose/80771547,12247 Berlin
"Linienstraße / Ecke Alte Schönhauser Str. 0,",ab sofort,2 von 5,165 m²,2.850 €,,3,"52.52679629419469,",13.407877133921081,https://www.immobilienscout24.de/expose/107743333,"10119 Berlin Mitte, Mitte (Mitte)"
"Celsiusstraße 34,",01.12.2018,2 von 2,120 m²,1.200 €,,3,"52.4140753046573,",13.31164277367321,https://www.immobilienscout24.de/expose/108671847,"12207 Berlin, Lichterfelde (Steglitz)"
